Профиль №1  с 01.11.2021 по 30.11.2021
Счетчик № 0816190453
Сохранен 30.11.2021 6:23:41

Дата	Время	A+, кВт	A-, кВт	R+, квар	R-, квар	Статус
01.11.2021	00:00-01:00	000,1551	000,0000	000,0595	000,0000	
01.11.2021	01:00-02:00	000,1453	000,0000	000,0581	000,0000	
01.11.2021	02:00-03:00	000,1518	000,0000	000,0602	000,0000	
01.11.2021	03:00-04:00	000,1524	000,0000	000,0595	000,0000	
01.11.2021	04:00-05:00	000,1527	000,0000	000,0615	000,0000	
01.11.2021	05:00-06:00	000,1524	000,0000	000,0610	000,0000	
01.11.2021	06:00-07:00	000,1679	000,0000	000,0658	000,0000	
01.11.2021	07:00-08:00	000,1789	000,0000	000,0694	000,0000	
01.11.2021	08:00-09:00	000,1785	000,0000	000,0654	000,0000	
01.11.2021	09:00-10:00	000,1794	000,0000	000,0664	000,0000	
01.11.2021	10:00-11:00	000,1788	000,0000	000,0675	000,0000	
01.11.2021	11:00-12:00	000,1733	000,0000	000,0662	000,0000	
01.11.2021	12:00-13:00	000,1500	000,0000	000,0592	000,0000	
01.11.2021	13:00-14:00	000,1486	000,0000	000,0601	000,0000	
01.11.2021	14:00-15:00	000,1333	000,0000	000,0550	000,0000	
01.11.2021	15:00-16:00	000,1483	000,0000	000,0609	000,0000	
01.11.2021	16:00-17:00	000,1499	000,0000	000,0590	000,0000	
01.11.2021	17:00-18:00	000,1506	000,0000	000,0579	000,0000	
01.11.2021	18:00-19:00	000,1525	000,0000	000,0606	000,0000	
01.11.2021	19:00-20:00	000,1431	000,0000	000,0569	000,0000	
01.11.2021	20:00-21:00	000,1420	000,0000	000,0551	000,0000	
01.11.2021	21:00-22:00	000,1294	000,0000	000,0552	000,0000	
01.11.2021	22:00-23:00	000,1332	000,0000	000,0545	000,0000	
01.11.2021	23:00-24:00	000,1552	000,0000	000,0614	000,0000	
02.11.2021	00:00-01:00	000,1527	000,0000	000,0606	000,0000	
02.11.2021	01:00-02:00	000,1328	000,0000	000,0544	000,0000	
02.11.2021	02:00-03:00	000,1696	000,0000	000,0667	000,0000	
02.11.2021	03:00-04:00	000,1488	000,0000	000,0566	000,0000	
02.11.2021	04:00-05:00	000,1383	000,0000	000,0575	000,0000	
02.11.2021	05:00-06:00	000,1557	000,0000	000,0617	000,0000	
02.11.2021	06:00-07:00	000,1501	000,0000	000,0606	000,0000	
02.11.2021	07:00-08:00	000,1755	000,0000	000,0672	000,0000	
02.11.2021	08:00-09:00	000,1635	000,0000	000,0644	000,0000	
02.11.2021	09:00-10:00	000,1660	000,0000	000,0650	000,0000	
02.11.2021	10:00-11:00	000,1623	000,0000	000,0644	000,0000	
02.11.2021	11:00-12:00	000,1734	000,0000	000,0665	000,0000	
02.11.2021	12:00-13:00	000,1770	000,0000	000,0683	000,0000	
02.11.2021	13:00-14:00	000,1542	000,0000	000,0602	000,0000	
02.11.2021	14:00-15:00	000,1665	000,0000	000,0629	000,0000	
02.11.2021	15:00-16:00	000,1432	000,0000	000,0552	000,0000	
02.11.2021	16:00-17:00	000,1621	000,0000	000,0645	000,0000	
02.11.2021	17:00-18:00	000,1542	000,0000	000,0595	000,0000	
02.11.2021	18:00-19:00	000,1576	000,0000	000,0602	000,0000	
02.11.2021	19:00-20:00	000,1555	000,0000	000,0581	000,0000	
02.11.2021	20:00-21:00	000,1732	000,0000	000,0667	000,0000	
02.11.2021	21:00-22:00	000,1714	000,0000	000,0662	000,0000	
02.11.2021	22:00-23:00	000,1268	000,0000	000,0518	000,0000	
02.11.2021	23:00-24:00	000,1678	000,0000	000,0631	000,0000	
03.11.2021	00:00-01:00	000,1691	000,0000	000,0644	000,0000	
03.11.2021	01:00-02:00	000,1537	000,0000	000,0600	000,0000	
03.11.2021	02:00-03:00	000,1718	000,0000	000,0659	000,0000	
03.11.2021	03:00-04:00	000,1322	000,0000	000,0533	000,0000	
03.11.2021	04:00-05:00	000,0952	000,0000	000,0427	000,0000	
03.11.2021	05:00-06:00	000,0649	000,0000	000,0316	000,0000	
03.11.2021	06:00-07:00	000,0625	000,0000	000,0315	000,0000	
03.11.2021	07:00-08:00	000,0656	000,0000	000,0341	000,0000	
03.11.2021	08:00-09:00	000,0666	000,0000	000,0325	000,0000	
03.11.2021	09:00-10:00	000,0648	000,0000	000,0306	000,0000	
03.11.2021	10:00-11:00	000,0600	000,0000	000,0300	000,0000	
03.11.2021	11:00-12:00	000,0576	000,0000	000,0285	000,0000	
03.11.2021	12:00-13:00	000,0635	000,0000	000,0318	000,0000	
03.11.2021	13:00-14:00	000,0531	000,0000	000,0283	000,0000	
03.11.2021	14:00-15:00	000,0548	000,0000	000,0290	000,0000	
03.11.2021	15:00-16:00	000,0493	000,0000	000,0260	000,0000	
03.11.2021	16:00-17:00	000,0479	000,0000	000,0249	000,0000	
03.11.2021	17:00-18:00	000,0509	000,0000	000,0269	000,0000	
03.11.2021	18:00-19:00	000,0505	000,0000	000,0261	000,0000	
03.11.2021	19:00-20:00	000,0460	000,0000	000,0235	000,0000	
03.11.2021	20:00-21:00	000,0577	000,0000	000,0293	000,0000	
03.11.2021	21:00-22:00	000,1020	000,0000	000,0444	000,0000	
03.11.2021	22:00-23:00	000,1467	000,0000	000,0581	000,0000	
03.11.2021	23:00-24:00	000,1454	000,0000	000,0595	000,0000	
04.11.2021	00:00-01:00	000,1358	000,0000	000,0570	000,0000	
